LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income,Population Density Rank,Population Per Sq Mile,Square Miles,banks/person/mile,altbanks/person/mile
Glassell Park,192,50098,144,0.513,2,2,68647,119,8524,2.75291010512,0.000234632,0.000234632
South Gate,200,48312,256,0.147,7,3,68647,56,12945,7.44837311533,0.000540749,0.00023175
Encino,73,78529,211,0.346,18,1,68647,179,4411,9.49970700034,0.004080707,0.000226706
Bell Gardens,221,41532,259,0.119,2,4,68647,24,17762,2.48028549043,0.0001126,0.0002252
Vermont-Slauson,247,31236,149,0.498,8,4,68647,20,18577,1.44245256524,0.00043064,0.00021532
Central-Alameda,243,31559,235,0.267,0,4,68647,19,18760,2.18269484806,0,0.00021322
Highland Park,212,45478,174,0.449,3,5,68647,31,16835,3.41941790034,0.017820018,0.02970003
Arcadia,79,75808,69,0.62,22,1,68647,171,4749,11.1507969199,0.004632554,0.000210571
Mid-Wilshire,151,58483,1,0.755,3,3,68647,42,14988,2.78116898514,0.00020016,0.00020016
Mid-City,216,43711,57,0.637,3,3,68647,41,15051,3.46810947987,0.000199322,0.000199322
Arleta,122,65649,171,0.455,0,2,68647,94,10034,3.09617917557,0,0.000199322
Rosemead,194,49387,87,0.589,6,2,68647,87,10332,5.15664047031,0.00058072,0.000193573
Lincoln Heights,250,30579,180,0.436,2,2,68647,80,10602,2.51055393684,0.000188644,0.000188644
Lawndale,180,53150,46,0.651,0,3,68647,36,16119,1.96846523451,0,0.000186116
Studio City,81,75657,200,0.378,10,1,68647,166,5395,6.30792524254,0.001853568,0.000185357
Maywood,222,41203,264,0.069,2,5,68647,5,23638,1.18806818977,0.008460953,0.021152382
Sylmar,121,65783,163,0.466,6,1,68647,164,5579,12.4563875325,0.001075462,0.000179244
Exposition Park,238,33999,120,0.539,1,3,68647,32,16819,1.84679077622,5.94566E-05,0.00017837
South San Gabriel,125,64827,86,0.59,0,1,68647,160,5708,1.41900252301,0,0.000175193
Del Rey,138,62259,33,0.666,6,2,68647,74,11420, 2.4526483285,0.000525394,0.000175131
Burbank,129,64416,92,0.581,22,1,68647,158,5785,17.3418424792,0.003802939,0.000172861
Cerritos,36,98212,82,0.599,11,1,68647,157,5851,8.85825545795,0.001880021,0.000170911
Venice,108,67647,126,0.534,3,2,68647,67,11891,3.17076584054,0.000252292,0.000168194
View Park-Windsor Hills,68,81214,241,0.246,1,1,68647,153,6008,1.84197484702,0.000166445,0.000166445
Panorama City,213,44468,156,0.479,9,3,68647,22,18028,3.64799571506,0.000499223,0.000166408
West Hollywood,182,52855,215,0.33,21,3,68647,18,18924,1.88729983244,0.001109702,0.000158529
Sherman Oaks,97,69651,182,0.434,12,1,68647,145,6687,9.14693779041,0.001794527,0.000149544
Athens,197,48824,111,0.547,0,1,68647,142,6829,1.33275332251,0,0.000146434
Rancho Park,96,69724,83,0.598,0,1,68647,137,7169,.599121035635,0,0.000139489
Culver City,91,70774,24,0.681,17,1,68647,134,7475,5.19276111048,0.002274247,0.000133779
Lake Balboa,124,65336,61,0.632,1,1,68647,129,7754,3.12585429603,0.000128966,0.000128966
East Hollywood,252,29927,94,0.578,5,4,68647,3,31095, 2.3787363778,0.000160798,0.000128638
Florence,257,29447,183,0.434,3,2,68647,38,15661,2.79767885323,0.000191559,0.000127706
East La Mirada,95,69930,103,0.561,0,1,68647,120,8506,1.11006524514,0,0.000117564
Manhattan Beach,12,136481,237,0.262,9,1,68647,117,8573,3.97071434338,0.001049808,0.000116645
Vermont Square,253,29904,131,0.527,4,2,68647,23,17798, 2.5443801572,0.000224744,0.000112372
Vermont Knolls,259,27730,136,0.521,4,2,68647,21,18057,1.14170882157,0.000221521,0.00011076
Harbor City,169,55454,30,0.674,1,1,68647,112,9127,2.58132095337,0.000109565,0.000109565
West Carson,112,66805,3,0.748,5,1,68647,109,9219,2.27906138241,0.000542358,0.000108472
San Gabriel,159,56687,56,0.637,10,1,68647,107,9433,4.16689673478,0.001060108,0.000106011
Santa Monica,99,69013,164,0.465,27,1,68647,102,9817,8.56505645013,0.002750331,0.000101864
San Fernando,174,54068,254,0.192,5,1,68647,99,9856,2.38776063448,0.000507305,0.000101461
Industry,114,66616,112,0.546,15,0,68647,254,82,12.3503569476,0.182926829,0
Vernon,67,81279,257,0.14,2,0,68647,259,18,5.223802834,0.111111111,0
Unincorporated Santa Susana Mountains,40,93825,79,0.602,6,0,68647,256,58,78.1078688818,0.103448276,0
Castaic Canyons,41,93248,187,0.43,1,0,68647,257,40,192.702636576,0.025,0
